Taxa	SNV	Name	Analysis4	meanG	seG	meanM	seM	target	Name_lumped	forShape
Bacteroidetes Bacteroides bf611493002f5918a68778bde2def567	bf611493002f5918a68778bde2def567	Bacteroidetes Bacteroides	Pos_Stool	0.273441003200956	0.0544260184516711	0.500930364375044	0.0661087151379653	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides bf611493002f5918a68778bde2def567	bf611493002f5918a68778bde2def567	Bacteroidetes Bacteroides	Neg_Stool	0.317886661730114	0.0769702390409055	0.370280581194209	0.0777838214317681	None	Bacteroidetes Bacteroides	None.Neg_Stool
Bacteroidetes Bacteroides d900eb33f6b4bc449aab64df16ae18b2	d900eb33f6b4bc449aab64df16ae18b2	Bacteroidetes Bacteroides	Pos_Stool	0.422688604059032	0.0604538927232906	0.681222014695257	0.0463555968140184	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides d900eb33f6b4bc449aab64df16ae18b2	d900eb33f6b4bc449aab64df16ae18b2	Bacteroidetes Bacteroides	Neg_Stool	0.410962481645692	0.0622058838265328	0.580700487897162	0.0641816274275165	IgM+	Bacteroidetes Bacteroides	IgM+.Neg_Stool
Bacteroidetes Bacteroides fd44d4cb468fd7dc9b3227867714ed87	fd44d4cb468fd7dc9b3227867714ed87	Bacteroidetes Bacteroides	Pos_Stool	0.394388557820118	0.0632737809504544	0.581130537297256	0.051283933973163	IgM+	Bacteroidetes Bacteroides	IgM+.Pos_Stool
Bacteroidetes Bacteroides fd44d4cb468fd7dc9b3227867714ed87	fd44d4cb468fd7dc9b3227867714ed87	Bacteroidetes Bacteroides	Neg_Stool	0.399365099981446	0.0429369996685476	0.459571318963194	0.0500347647219862	None	Bacteroidetes Bacteroides	None.Neg_Stool
Bacteroidetes Odoribacter a730ef0685ea600be854be1842a6b362	a730ef0685ea600be854be1842a6b362	Bacteroidetes Odoribacter	Pos_Stool	0.468329611113334	0.0596239410815361	0.64976477070546	0.0544395009089422	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Odoribacter a730ef0685ea600be854be1842a6b362	a730ef0685ea600be854be1842a6b362	Bacteroidetes Odoribacter	Neg_Stool	0.490422081192786	0.0621002379403841	0.570505618424641	0.0489593114552194	IgM+	Other	IgM+.Neg_Stool
Bacteroidetes Parabacteroides d8e7f9181e4d5a4a6453e9ca9996a43f	d8e7f9181e4d5a4a6453e9ca9996a43f	Bacteroidetes Parabacteroides	Pos_Stool	0.353204138454325	0.0737966433294298	0.565287980213915	0.0580041511628282	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Parabacteroides d8e7f9181e4d5a4a6453e9ca9996a43f	d8e7f9181e4d5a4a6453e9ca9996a43f	Bacteroidetes Parabacteroides	Neg_Stool	0.347940788398962	0.0683738187672922	0.547927272934924	0.0740017559904558	IgM+	Other	IgM+.Neg_Stool
Bacteroidetes Rikenellaceae 506efac48dc5d5be2c0122c381639a3f	506efac48dc5d5be2c0122c381639a3f	Bacteroidetes Rikenellaceae	Pos_Stool	0.339018041219606	0.0662164982987777	0.660588657619931	0.0668495816875863	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Rikenellaceae 506efac48dc5d5be2c0122c381639a3f	506efac48dc5d5be2c0122c381639a3f	Bacteroidetes Rikenellaceae	Neg_Stool	0.377201200234857	0.0773510585711792	0.649052639695444	0.0675233085310168	IgM+	Other	IgM+.Neg_Stool
Bacteroidetes Rikenellaceae 51d4f17b8dda9f7d972bf3dd0ecc4e59	51d4f17b8dda9f7d972bf3dd0ecc4e59	Bacteroidetes Rikenellaceae	Pos_Stool	0.342061925114532	0.0366821706411837	0.503294144728466	0.044458808500687	IgM+	Other	IgM+.Pos_Stool
Bacteroidetes Rikenellaceae 51d4f17b8dda9f7d972bf3dd0ecc4e59	51d4f17b8dda9f7d972bf3dd0ecc4e59	Bacteroidetes Rikenellaceae	Neg_Stool	0.304569973874489	0.0478284655219266	0.40726488022505	0.0675404667616716	IgM+	Other	IgM+.Neg_Stool
Firmicutes [Mogibacteriaceae] 74d519816d4cfb9cf4ec9605f76301d6	74d519816d4cfb9cf4ec9605f76301d6	Firmicutes [Mogibacteriaceae]	Pos_Stool	0.234948151275985	0.0608274220741564	0.650175637959034	0.0813833249044382	IgM+	Other	IgM+.Pos_Stool
Firmicutes [Mogibacteriaceae] 74d519816d4cfb9cf4ec9605f76301d6	74d519816d4cfb9cf4ec9605f76301d6	Firmicutes [Mogibacteriaceae]	Neg_Stool	0.269491736639671	0.048054070411831	0.659425940174081	0.0656317021464127	IgM+	Other	IgM+.Neg_Stool
Firmicutes [Ruminococcus] 08bd43071a06abf56df235fca6655bea	08bd43071a06abf56df235fca6655bea	Firmicutes [Ruminococcus]	Pos_Stool	0.732700032347121	0.0738372072580569	0.893219530214016	0.0384385777385018	IgM+	Other	IgM+.Pos_Stool
Firmicutes [Ruminococcus] 08bd43071a06abf56df235fca6655bea	08bd43071a06abf56df235fca6655bea	Firmicutes [Ruminococcus]	Neg_Stool	0.831874074246513	0.0649978198456824	0.876401378453472	0.0523497365876873	IgM+	Other	IgM+.Neg_Stool
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	Pos_Stool	0.419506679584934	0.0764931520743458	0.69402442095624	0.0606181283200571	IgM+	Other	IgM+.Pos_Stool
Firmicutes [Ruminococcus] 9e3226efaf559eb14a478f880462cb8a	9e3226efaf559eb14a478f880462cb8a	Firmicutes [Ruminococcus]	Neg_Stool	0.3554102949434	0.103102226727263	0.609082430794388	0.0815228906129713	IgM+	Other	IgM+.Neg_Stool
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	Pos_Stool	0.535610434688302	0.0723166805104024	0.818206915194051	0.0492989581103258	IgM+	Other	IgM+.Pos_Stool
Firmicutes [Ruminococcus] c24e0e391aa836b5eae25567c7eb89ee	c24e0e391aa836b5eae25567c7eb89ee	Firmicutes [Ruminococcus]	Neg_Stool	0.635893964391464	0.101313594767435	0.807744665504286	0.0789252111098626	IgM+	Other	IgM+.Neg_Stool
Firmicutes Anaerostipes 421cbd1d71d34704c6d53377261e213c	421cbd1d71d34704c6d53377261e213c	Firmicutes Anaerostipes	Pos_Stool	0.370890881353494	0.0827014330496331	0.820526859571084	0.0502291641712019	IgM+	Other	IgM+.Pos_Stool
Firmicutes Anaerostipes 421cbd1d71d34704c6d53377261e213c	421cbd1d71d34704c6d53377261e213c	Firmicutes Anaerostipes	Neg_Stool	0.29981230173689	0.0608991420202743	0.63879716999736	0.0631421504404187	IgM+	Other	IgM+.Neg_Stool
Firmicutes Blautia 00a96fbd0ac34bfd245f9c24f8737f7d	00a96fbd0ac34bfd245f9c24f8737f7d	Firmicutes Blautia	Pos_Stool	0.483855117664457	0.0718252467350912	0.887786920908765	0.028037598787178	IgM+	Firmicutes Blautia	IgM+.Pos_Stool
Firmicutes Blautia 00a96fbd0ac34bfd245f9c24f8737f7d	00a96fbd0ac34bfd245f9c24f8737f7d	Firmicutes Blautia	Neg_Stool	0.421268392814635	0.061082889131091	0.88030883755797	0.0420962374944824	IgM+	Firmicutes Blautia	IgM+.Neg_Stool
Firmicutes Blautia 0a68ec564e278b0246c920ad7de41880	0a68ec564e278b0246c920ad7de41880	Firmicutes Blautia	Pos_Stool	0.584769999807111	0.076713241701765	0.900136378049912	0.038414649348359	IgM+	Firmicutes Blautia	IgM+.Pos_Stool
Firmicutes Blautia 0a68ec564e278b0246c920ad7de41880	0a68ec564e278b0246c920ad7de41880	Firmicutes Blautia	Neg_Stool	0.589612158032863	0.0969071332692762	0.830065113310491	0.0537779642954747	IgM+	Firmicutes Blautia	IgM+.Neg_Stool
Firmicutes Blautia 8ca0b9917d926bb6241ce6e23673fce4	8ca0b9917d926bb6241ce6e23673fce4	Firmicutes Blautia	Pos_Stool	0.287023780524057	0.0754399713423891	0.854690639241961	0.0407911914739072	IgM+	Firmicutes Blautia	IgM+.Pos_Stool
Firmicutes Blautia 8ca0b9917d926bb6241ce6e23673fce4	8ca0b9917d926bb6241ce6e23673fce4	Firmicutes Blautia	Neg_Stool	0.178522450213082	0.0478281448993721	0.918977146710098	0.0259807047722039	IgM+	Firmicutes Blautia	IgM+.Neg_Stool
Firmicutes Blautia bed671b4676144142cebd192b690f499	bed671b4676144142cebd192b690f499	Firmicutes Blautia	Pos_Stool	0.464094178060256	0.0672446848575104	0.782450712428764	0.0553684280259068	IgM+	Firmicutes Blautia	IgM+.Pos_Stool
