Taxa	SNV	Name	SubjectID	Analysis4	IgA-IgM-IgG-	IgM+IgA-	Mprob	IgA+IgM-	IgM+IgA+	Aprob	A_and_M_prob
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F49.1	Neg_Stool	0.309011825284187	0.690988174715813	0.690988174715813	NA	NA	NA	0.690988174715813
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F51.1	Neg_Stool	0.0819915779043845	0.918008422095616	0.918008422095616	NA	NA	NA	0.918008422095616
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F52.1	Neg_Stool	0.192741880419692	0.807258119580308	0.807258119580308	NA	NA	NA	0.807258119580308
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F54.1	Neg_Stool	0.397464866895172	0.602535133104828	0.602535133104828	NA	NA	NA	0.602535133104828
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F59.1	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F59.2	Neg_Stool	0.5	0.5	0.5	NA	NA	NA	0.5
Firmicutes Clostridium e9f900358bb9297e10b9fbb1321b1e6e	e9f900358bb9297e10b9fbb1321b1e6e	Firmicutes Clostridium	F63.1	Neg_Stool	0.504669141063078	0.495330858936922	0.495330858936922	NA	NA	NA	0.495330858936922
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F03.2	Neg_Stool	0.884760541532728	0.115239458467272	0.115239458467272	NA	NA	NA	0.115239458467272
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F33.1	Neg_Stool	0.679772946229751	0.320227053770249	0.320227053770249	NA	NA	NA	0.320227053770249
Firmicutes Ruminococcaceae e2cfe099d4a73a03ac5f80d4f8369dbc	e2cfe099d4a73a03ac5f80d4f8369dbc	Firmicutes Ruminococcaceae	F36.1	Neg_Stool	0.81494544899035	0.185054551009651	0.185054551009651	NA	NA	NA	0.185054551009651
