Feature ID	Taxon	Confidence
03d0f0a3411511797f8759a0e4b2f035	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9909371452034678
03dee3b18166bd173f56c0d1a16d24f7	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9912277943948684
03e9f6db04a61c4f8a17d2068972f6ac	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__	0.8602637160620524
04160ba54c21aeed9435ec51e581ac46	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__human; s__gut metagenome	0.9080892599745491
0430433770f1083e6a17761303b0d300	k__Bacteria; p__Bacteroidetes; c__[Rhodothermi]; o__[Rhodothermales]; f__Rhodothermaceae	0.8462453378795769
0436b4787368bec544095e845b276781	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	0.7668895049372648
043b492aaace0812aa60392a24795d80	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__	0.9974629228918238
0480e243786eebd79489e371d778813b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.7261088926995017
048aa154fced8a7bc20b59f368f74cb1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium; s__lavalense	0.9728480588536226
0495b175a0a31e6820c9b711b94e7463	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae	0.9947899689578438
04a40653886fdb1a22227303b91efa68	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium	0.9164220463665922
04baf999c7b5662175d782b5969a4abd	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.9998473410585907
04c326eb626c415548956b31ad96939f	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Intrasporangiaceae; g__; s__	0.7708547567888795
04ca162b3dd2dc7f483ab3503bc605c3	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__[Eubacterium]; s__dolichum	0.999996220965549
04e01841a5e1bf33dcc6bb33c6380138	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__llatzerense	0.7692380780886027
04ecfad5772d2e09a84a0f5ef460536c	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium	0.9999963400673131
04edaa963304c466674c30f9f9bb087e	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__[Clostridium]; s__sordellii	0.8291486336068112
05092dcbde01b3a3dddcd25ce95d9668	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae	0.9994094082374742
052ed87a5bce8789c20b59effda065d6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__WAL_1855D; s__	0.9999981622238442
05397451c670344ff0aa7da8dd0f19b5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.8354296605660967
0548b11b6de90319756016a02baab332	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__	0.9053224361561444
056117a0129d579df6199ba7e920f54a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Parvimonas; s__	0.9996578997034129
0562e97bf8665edd5ae85899297a44a8	k__Bacteria; p__[Thermi]; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__	0.9999998108454841
056989224116c3c74798c36f1f8a1edd	k__Bacteria; p__Firmicutes; c__Clostridia	0.8094071333111877
05804ae7ffa110365f95183fe00f5f69	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales	0.9692309245474806
058ddaf9c85a652bd335f9fcf038b86a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9998899602021221
0591add78a507f555e94a8a11bdc5477	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9741192365759946
05b18ec772b1068d4e5af85a64eaed0f	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermabacteraceae; g__Brachybacterium; s__	0.8454207893948134
05d0d34d1d6dbbc9ee7f25b29dbee1bb	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	0.9607421716580874
05dbbf0301a9625e1f1a41470a92f7fe	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	0.9382734468296243
05e16bc34b632fdcc491366c044d7fb6	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__	0.9832834832979779
05e8eb20fbc1bed11494e9e96aef65b6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.7136265356798687
05ebe8e85db18c7be6e1cb4845aea55f	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Dermacoccaceae; g__Dermacoccus; s__	0.9574305107183613
060716edede38b8800ced54da91fd924	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae	0.9149607934496488
063430d79b7534acdfb109b5002a7eca	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.860634317561229
063d2ae652c318951ca66f8211641416	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__	0.8394720830827784
063e6d1b7b0b80e9e10055dd1d865889	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria	0.7411152847292065
0640db4ea791b42f359db92a7bdce7e7	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__; s__	0.8564484054137971
066958ec24a70350539dffe6fcfdea84	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__CF231; s__	0.9994647157245421
0684128cfd2dfbb736f87e8b724d3fc0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.986467031266541
06953d1efe174f00063385e9f6692367	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__	0.960606256680995
0697533792974c410abe92b31253acbb	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	0.9994927339211573
069efd19beb31ea9332890f0218476b8	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9983262724985877
06a564be75183c6a39f8ac0122b2ff45	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Piscirickettsiaceae; g__Methylophaga; s__	0.9998643577399459
06ac4f925b69a908d04bb0293d66749f	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.9740912325319351
06bb3fa895e072e060638ec1131d0d3c	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__	0.8981817101219105
06bba13538fad4ea54505cb151cb84d7	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__	0.890757495259123
06ca8a0f60b4b28d67a9be2613fb7b07	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Gordoniaceae; g__Gordonia; s__	0.9685995681137579
06d51a867c63a49f3b05a05c97dc9fbd	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.8673906237944018
